fid,extensao,consorcio,descricao_desvio,tipo_rota,direcao,destino,servico
1,8502,Santa Cruz,,regular,1,Jardim Bangu,819
2,6637,Intersul,,regular,0,Central do Brasil,010
3,29403,Internorte,,regular,0,Copacabana,SN457
4,25967,Santa Cruz,,regular,1,Terminal Campo Grande,857
5,30591,Transcarioca,,regular,0,Copacabana [reversível],557
6,32495,MOBI-Rio,,brt,1,Santa Eugênia,14
7,10980,Santa Cruz,,regular,0,Terminal Curral Falso,807
8,20595,Intersul,,regular,0,Leblon,476
9,30677,Santa Cruz,,regular,1,Campo Grande,SN731
10,35725,Santa Cruz,,regular,0,Terminal Deodoro,853
11,23578,Transcarioca,,regular,1,Merck,636
12,15590,Transcarioca,,regular,0,Terminal Tanque,610
13,27348,Internorte,,regular,0,Méier,SVA685
14,30403,Intersul,,regular,0,Jardim de Alah,444
15,13689,Transcarioca,,regular,0,Jardim Oceânico,805
16,39214,Internorte,,regular,1,Pavuna,SR384
17,76697,Santa Cruz,,frescao,0,Castelo,2338
18,25277,Intersul,,regular,0,Leblon,415
19,20663,Transcarioca,,regular,1,Cascadura,607
20,36760,Santa Cruz,,regular,0,Bonsucesso,918
21,31020,Santa Cruz,,regular,0,Penha,926
22,12325,Intersul,,regular,1,Largo do Machado,585
23,21811,Internorte,,regular,1,Pavuna,SN919
24,36646,Santa Cruz,,regular,1,Jardim Violeta,918
25,12308,Intersul,,regular,0,Copacabana,463
26,22537,Santa Cruz,,regular,1,Jabour,SV803
27,38097,Transcarioca,,regular,0,Recreio dos Bandeirantes,SP315
28,28980,Santa Cruz,,regular,1,Terminal Campo Grande,786
29,26305,Intersul,,regular,0,Circular,583
30,23989,Transcarioca,,regular,0,Marechal Hermes,785
31,17901,Intersul,,regular,0,Candelária,275
32,44313,Santa Cruz,,regular,0,Candelária,393
33,75873,Santa Cruz,,frescao,1,Santa Cruz,2335
34,4802,Santa Cruz,,regular,0,Terminal Campo Grande,848
35,5180,Internorte,,regular,1,Vicente de Carvalho,951
36,38445,Internorte,,regular,1,Mariópolis,624
37,15567,Internorte,,regular,1,Metrô Pavuna,779
38,21282,Intersul,,regular,0,Leme,472
39,11983,Intersul,,regular,1,São Cristóvão,463
40,24552,Transcarioca,,regular,1,Terminal Alvorada,645
41,31158,Transcarioca,,regular,1,Curicica,390
42,46718,Santa Cruz,,regular,1,Santa Cruz,753
43,8665,Transcarioca,,regular,1,Praça Seca,702
44,7146,Intersul,,regular,1,Silvestre,507
45,37512,Transcarioca,,regular,0,Candelária,348
46,24550,Santa Cruz,,regular,1,Campo Grande,798
47,66578,Santa Cruz,,frescao,1,Jardim 7 de Abril,2307
48,30073,Internorte,,regular,1,Rocha Miranda,277
49,12227,Internorte,,regular,1,Bancários,SP329
50,28500,Santa Cruz,,regular,0,Cascadura,786
51,12247,Intersul,,regular,1,Silvestre,SN007
52,26319,Internorte,,regular,0,Castelo,321
53,13288,Santa Cruz,,regular,0,Campo Grande,826
54,32591,Santa Cruz,,regular,0,Terminal Deodoro,883
55,32769,Santa Cruz,,regular,1,Santíssimo,737
56,23025,Santa Cruz,,regular,1,Largo do Mendanha,765
57,19432,Transcarioca,,regular,0,Barra da Tijuca,878
58,25600,Internorte,,regular,0,Méier,669
59,4776,Internorte,,regular,0,Vista Alegre,951
60,19213,Internorte,,regular,0,Terminal Gentileza,SV606
61,16336,Internorte,,regular,1,Camarista Méier,247
62,51332,Santa Cruz,,frescao,1,Santa Cruz,2802
63,17403,Internorte,,regular,0,Passeio,247
64,33487,Transcarioca,,regular,1,Cidade de Deus,558
65,51739,Transcarioca,,regular,0,Terminal Alvorada,957
66,65821,Santa Cruz,,frescao,0,Carioca,2307
67,29800,Internorte,,regular,0,Rio Comprido,711
68,18669,MOBI-Rio,,brt,1,Pingo D'Água,28
69,34462,Internorte,,regular,1,Bananal,634
70,6775,Intersul,,regular,1,Vila Isabel,605
71,21583,Internorte,,regular,1,Água Santa,238
72,19949,Internorte,,regular,1,Marechal Hermes,650
73,4796,Santa Cruz,,regular,1,Monte Santo,848
74,23989,Transcarioca,,regular,0,Marechal Hermes,785
75,19947,Intersul,,regular,0,Gávea,410
76,33623,Santa Cruz,,regular,1,Realengo,383
77,37398,Transcarioca,,regular,0,Rio das Pedras,558
78,33052,Transcarioca,,regular,1,Curicica,380
79,26192,Santa Cruz,,regular,1,Sepetiba,884
80,24724,MOBI-Rio,,brt,0,Terminal Alvorada,52
81,22218,Transcarioca,,regular,0,Recreio dos Bandeirantes,954
82,7664,Santa Cruz,,regular,1,Rio da Prata,846
83,10690,MOBI-Rio,,brt,1,Bangu,68
84,25443,Intersul,,regular,1,Usina,SN415
85,30692,Transcarioca,,regular,1,Terminal Gentileza,301
86,49494,Transcarioca,,regular,0,Castelo,361
87,14117,Intersul,,regular,1,Metrô General Osório [Praia do Flamengo],100
88,30270,Transcarioca,,regular,0,Candelária,SP343
89,28630,Transcarioca,,regular,0,Terminal Alvorada,301
90,17621,Internorte,,regular,1,Engenho de Dentro,606
91,10465,Santa Cruz,,regular,1,Jabour,SP803
92,26638,Internorte,,regular,0,Méier,680
93,17432,Intersul,,regular,0,Castelo,157
94,19548,Internorte,,regular,0,Fundão,SP485
95,32283,Santa Cruz,,regular,1,Barra de Guaratiba,SN867
96,23392,Internorte,,regular,1,Irajá,SN685
97,6085,Transcarioca,,regular,0,Terminal Taquara,831
98,21713,Internorte,,regular,1,Engenho de Dentro,SV606
99,21583,Internorte,,regular,1,Água Santa,SN238
100,37825,Internorte,,regular,1,Pavuna,399
101,11914,Intersul,,regular,0,Copacabana,163
102,26839,Transcarioca,,regular,1,Terminal Taquara,810
103,69916,Santa Cruz,,regular,0,Candelária,388
104,16218,Internorte,,regular,1,Lins de Vasconcelos,232
105,13031,Santa Cruz,,regular,0,Circular,821
106,11428,Intersul,,regular,0,Copacabana [reversível],463
107,33097,Santa Cruz,,regular,1,Terminal Mato Alto,883
108,21406,Internorte,,regular,1,Cordovil,335
109,13947,MOBI-Rio,,brt,1,Terminal Centro Olímpico,50
110,27893,Internorte,,regular,1,Marechal Hermes,638
111,14033,Santa Cruz,,regular,1,Urucânia,868
112,30735,Internorte,,regular,0,Penha,SV483
113,22819,Intersul,,regular,1,Grajaú,422
114,28477,MOBI-Rio,,brt,0,Terminal Alvorada,46
115,12173,Intersul,,regular,1,Central,107
116,75980,Santa Cruz,,frescao,1,Santa Cruz,2335
117,30207,Internorte,,regular,1,Madureira,SN355
118,33623,Santa Cruz,,regular,1,Realengo,SN383
119,6532,Santa Cruz,,regular,1,Terminal Campo Grande,837
120,36907,Transcarioca,,regular,1,Riocentro,368
121,19716,Internorte,,regular,0,Candelária,SN312
122,54309,Santa Cruz,,frescao,0,Barra da Tijuca,2802
123,16949,Intersul,,regular,0,Lido,473
124,21265,Internorte,,regular,0,Saens Peña,630
125,48427,Transcarioca,,regular,1,Central,315
126,38692,MOBI-Rio,,brt,1,Santa Cruz,11
127,40861,Santa Cruz,,regular,0,Circular,852
128,11776,Internorte,,regular,0,Circular,LECD85
129,20412,Internorte,,regular,1,Engenho da Rainha,292
130,19806,Transcarioca,,regular,1,Méier,678
131,23249,Intersul,,regular,1,Méier,476
132,26736,Transcarioca,,frescao,0,Castelo,2110
133,24250,Transcarioca,,regular,1,Riocentro,SPA613
134,5504,Intersul,,regular,1,Bairro de Fátima,010
135,11665,Intersul,,regular,1,Largo do Machado,133
136,31888,Transcarioca,,regular,0,Candelária,390
137,24514,Intersul,,regular,0,Copacabana [via P. do Flamengo],SV474
138,26627,Transcarioca,,regular,0,Pontal,810
139,14112,Santa Cruz,,regular,1,Jardim Palmares,893
140,39799,Internorte,,regular,0,Passeio,399
141,33031,Internorte,,regular,0,Saens Peña,634
142,41008,Internorte,,regular,1,Bananal,SN634
143,24220,Internorte,,regular,1,Realengo,SV917
144,23471,Santa Cruz,,regular,0,Circular,SN895
145,11445,Intersul,,regular,1,Andaraí,217
146,8053,Santa Cruz,,regular,0,Circular,894
147,28671,Transcarioca,,regular,0,Recreio dos Bandeirantes,961
148,40875,Transcarioca,,regular,1,Recreio dos Bandeirantes [reversível],553
149,48434,Transcarioca,,regular,1,Recreio dos Bandeirantes,361
150,29479,Transcarioca,,regular,1,Méier,692
151,16007,Intersul,,regular,0,Leme,SN538
152,6353,Transcarioca,,regular,1,Colônia,SV831
153,27434,Transcarioca,,regular,1,Terminal Taquara,SN810
154,24175,Internorte,,regular,1,Madureira,254
155,21897,Internorte,,regular,1,Terminal Deodoro,908
156,26845,Internorte,,regular,1,Bananal,910
157,12403,Intersul,,regular,1,Furnas,448
158,28247,Internorte,,regular,1,Bananal,323
159,22536,Internorte,,regular,1,Engenheiro Leal,311
160,14369,Intersul,,regular,0,Circular,519
161,33463,Internorte,,regular,1,Méier,696
162,19540,MOBI-Rio,,brt,0,Terminal Alvorada,35
163,22085,Santa Cruz,,regular,1,São Fernando,840
164,36520,Internorte,,regular,1,Marechal Hermes,378
165,24995,Internorte,,frescao,1,Bancários,2344
166,28974,Transcarioca,,regular,1,Rio das Pedras,557
167,22606,MOBI-Rio,,brt,1,Terminal Deodoro,51
168,17467,Internorte,,regular,1,Pavuna,SP795
169,22313,Internorte,,regular,0,Castelo,SN238
170,19619,MOBI-Rio,,brt,0,Terminal Alvorada,40
171,39346,Santa Cruz,,regular,0,Candelária,300
172,38660,Internorte,,regular,0,Saens Peña,SN634
173,24437,Internorte,,regular,1,Marechal Hermes,SP265
174,46589,Santa Cruz,,regular,1,Vila Aliança,389
175,29364,Transcarioca,,frescao,0,Castelo,2345
176,18556,Intersul,,regular,1,São Januário,473
177,74846,Santa Cruz,,frescao,1,Terminal Campo Grande,2338
178,16436,MOBI-Rio,,brt,1,Campo Grande,17
179,10306,Santa Cruz,,regular,0,Inhoaíba,841
180,4960,Transcarioca,,regular,1,Colônia,831
181,25960,Internorte,,regular,1,Méier,455
182,76070,Santa Cruz,,frescao,0,Castelo,2338
183,12246,Santa Cruz,,regular,0,Campo Grande,893
184,16074,Intersul,,regular,1,Alto Gávea,105
185,15669,MOBI-Rio,,brt,0,Santa Cruz,17
186,26324,Transcarioca,,regular,0,Candelária,SN363
187,22588,Internorte,,regular,0,Terminal Gentileza,SP265
188,32659,Santa Cruz,,regular,1,Sepetiba,898
189,37646,Transcarioca,,regular,0,Candelária,368
190,14158,Internorte,,regular,0,Terminal Fundão,SP328
