funcao,dim,best_f,taxa_mutacao,sigma_mutacao,alpha_blx
sphere,30,1.765379978193593e-29,0.010308646197692882,0.25207890897770163,0.45838145217844484
sphere,50,2.5540000898139398e-05,0.012962873603053952,0.2736884271248835,0.25310669592018487
sphere,100,0.0007567376342144765,0.010026168322058184,0.052555973937617115,0.39845532392250704
rosenbrock,30,0.10211891491222819,0.02062055481932644,0.1285952793442887,0.17866475106320934
rosenbrock,50,0.9582605097003285,0.013665267732377015,0.10382609119175765,0.20442503013006608
rosenbrock,100,13.48037651883972,0.01668585984549916,0.14083626166526197,0.12715751577915652
sum_squares,30,8.668587752097526e-33,0.01016252478099917,0.32331568033396046,0.4865628287063959
sum_squares,50,8.46004453138449e-06,0.010122928033492256,0.16685380711090686,0.31090072850438855
sum_squares,100,0.01817386442889513,0.010125466409437392,0.06481150505894866,0.30141421057658635
dixon_price,30,0.6666666666666665,0.01170426827668165,0.2774199771840528,0.4640982507756509
dixon_price,50,0.6666683238450303,0.010282911104132401,0.10995269670305396,0.38638366375166805
dixon_price,100,1.5037288380356693,0.03198214616350881,0.07167689401849513,0.2873710731369192
zakharov,30,1.115373185079951,0.17645018612003233,0.08261024606775628,0.11277375090139309
zakharov,50,29.707464434907344,0.024792225615104663,0.22278598011971576,0.14576938063193562
zakharov,100,286.5181071190429,0.11564181152389012,0.2268628320900708,0.14368708817935846
rastrigin,30,5.969788277815383,0.013557135106976072,0.2042898517365353,0.15438054642374396
rastrigin,50,13.788725825625193,0.02228089921384632,0.35240758934116745,0.16279009753464982
rastrigin,100,43.30828986943163,0.02797430834303798,0.11968908369772821,0.11454916150194024
ackley,30,3.9968028886505635e-15,0.010300285519643045,0.30295258202197967,0.49252065943433737
ackley,50,0.00016386610775898092,0.010221585964054512,0.34064223682260963,0.39743099030235546
ackley,100,0.05577164514944544,0.014870836117802794,0.0657369310787535,0.4630659181130071
griewank,30,0.0,0.010489081808369022,0.0966258947943291,0.46227950085211
griewank,50,5.998091134884476e-09,0.010258175829471571,0.11865553157695494,0.4588730897193101
griewank,100,0.00047923030221419527,0.017470862863288725,0.08347235161122556,0.4655815899398666
schwefel,30,-1.681386480491304e+51,0.13764819953985796,0.1265669726319193,0.4995760438594086
schwefel,50,-2.1763373848131534e+42,0.01907070065633309,0.09586034629070048,0.49261514829053094
schwefel,100,-7.158853767709303e+48,0.18155108076892776,0.3660258789881014,0.4998346323553787
levy,30,6.430140440293181e-32,0.010153151134613386,0.25848983011691734,0.4865628287063959
levy,50,2.202098667829848e-08,0.010212837805311122,0.1756208857738633,0.28180131888800336
levy,100,5.2273403434279404e-05,0.01002683765489632,0.05792101795298994,0.23474290183755858
