funcao,dim,best_f,w,c1,c2
sphere,30,2.4501458854819912e-99,0.3355839770708825,2.0402254021175343,1.406221818837985
sphere,50,3.652350792259592e-44,0.4005795886161109,1.8093512508122287,1.4149446062873272
sphere,100,2.651476934868925e-10,0.40382113685899906,2.474521463203398,1.4414511575567173
rosenbrock,30,0.001775373895476779,0.6449171783644344,0.935873515799807,1.6076652943773944
rosenbrock,50,0.05916289408410197,0.46864647914804886,1.031774739233645,1.5944609802746477
rosenbrock,100,103.43464070940927,0.39593036121841807,1.301911939364088,1.8710092162578684
sum_squares,30,5.103476866675714e-97,0.30303609610558807,2.2003868451411535,1.4937933261578134
sum_squares,50,6.719475733746963e-43,0.3407163597473197,2.0184390457745582,1.473010655584119
sum_squares,100,2.009482617218956e-11,0.6415086955820858,2.2189769865979505,1.0285205492088532
dixon_price,30,0.6666666666666666,0.6035938741042424,1.8873453526037838,1.0097133265849254
dixon_price,50,0.6666666666666667,0.6501329919495579,2.2326213120371032,0.9396272428512884
dixon_price,100,1.0987861915595318,0.7428400435406763,1.0867297280114192,1.0156636077999508
zakharov,30,9.108886327701557e-14,0.45351285176884015,0.774601453233222,1.9831932548589644
zakharov,50,0.35801096267682336,0.624916547231466,0.9143103285056714,1.6650217644880672
zakharov,100,399.3827240054343,0.36220126880040643,1.2539060821201589,2.439267197110591
rastrigin,30,12.958507814988764,0.306732313832741,2.462149661225865,1.9956339896269306
rastrigin,50,31.83867471616975,0.3296190434664731,2.490349514966757,1.6415090353413535
rastrigin,100,98.50117719775903,0.619248988951925,2.070351922786027,0.8993475643167195
ackley,30,7.549516567451064e-15,0.499838046664374,2.4949396569619466,1.1442718752859073
ackley,50,2.5033775052918372e-09,0.39988431171661476,1.687191999156987,1.94265704736576
ackley,100,0.020521447124466352,0.36624664406427604,1.7533230006816798,2.127060503519869
griewank,30,0.0,0.3406585285177396,2.23235229154987,1.7022300234864176
griewank,50,0.0,0.3406585285177396,2.23235229154987,1.7022300234864176
griewank,100,3.614184840294854e-09,0.3768079327257874,2.3097860754029726,1.4681558993412094
schwefel,30,2127.6460916161614,0.8135832611620978,0.9955173861021194,2.0517500402302873
schwefel,50,4234.578934763642,0.7512681273515971,2.2454975584011225,0.9763630349180804
schwefel,100,14077.372043373573,0.7627343451355736,1.8302024417748373,1.2081932540371478
levy,30,1.4997597826618576e-32,0.3406585285177396,2.23235229154987,1.7022300234864176
levy,50,1.4997597826618576e-32,0.6495770593847152,2.013766909964852,1.0662950652710625
levy,100,1.0990014236305286e-13,0.3669345667266475,2.219309720236437,1.4795025101503876
