algoritmo,funcao,dim,exec_id,best_f,n_fes,tempo_s
ag,sphere,30,1,1.407418528e-32,100000,3.4283
ag,sphere,30,2,9.398099015e-28,100000,3.4155
ag,sphere,30,3,3.323459083e-29,100000,3.4179
ag,sphere,30,4,2.699359502e-28,100000,3.4449
ag,sphere,30,5,5.026020955e-27,100000,3.4385
ag,sphere,30,6,2.483936527e-16,100000,3.4192
ag,sphere,30,7,2.153354354e-32,100000,3.4306
ag,sphere,30,8,3.479868538e-32,100000,3.4334
ag,sphere,30,9,1.27895039e-31,100000,3.4378
ag,sphere,30,10,3.633994656e-32,100000,3.4339
ag,sphere,30,11,1.60656886e-33,100000,3.4321
ag,sphere,30,12,8.839061238e-32,100000,3.4312
ag,sphere,30,13,1.522300982e-18,100000,3.4359
ag,sphere,30,14,1.034338754e-30,100000,3.4343
ag,sphere,30,15,4.26146448e-31,100000,3.4389
ag,sphere,30,16,1.316273915e-25,100000,3.4651
ag,sphere,30,17,5.363727885e-35,100000,3.4732
ag,sphere,30,18,3.627955269e-26,100000,3.4762
ag,sphere,30,19,8.225865653e-31,100000,3.4955
ag,sphere,30,20,5.696221259e-31,100000,3.4866
ag,sphere,30,21,7.761446261e-10,100000,3.4988
ag,sphere,30,22,1.20858264e-29,100000,3.49
ag,sphere,30,23,1.862139644e-28,100000,3.4867
ag,sphere,30,24,1.450382554e-25,100000,3.5099
ag,sphere,30,25,2.06819256e-31,100000,3.4949
ag,sphere,30,26,2.372351687e-12,100000,3.4882
ag,sphere,30,27,5.338454405e-27,100000,3.4993
ag,sphere,30,28,2.814532342e-33,100000,3.5004
ag,sphere,30,29,3.426361099e-28,100000,3.5227
ag,sphere,30,30,2.956904489e-32,100000,3.5506
ag,sphere,50,1,5.113979652e-05,100000,3.6684
ag,sphere,50,2,7.695295001e-05,100000,3.572
ag,sphere,50,3,7.270041626e-05,100000,3.5519
ag,sphere,50,4,7.202402294e-05,100000,3.7385
ag,sphere,50,5,5.938601036e-05,100000,3.6679
ag,sphere,50,6,4.648694538e-05,100000,3.6809
ag,sphere,50,7,5.824435534e-05,100000,3.5851
ag,sphere,50,8,3.378197478e-05,100000,3.6095
ag,sphere,50,9,4.508712138e-05,100000,3.6025
ag,sphere,50,10,6.407155435e-05,100000,3.6316
ag,sphere,50,11,0.0001089516209,100000,3.6199
ag,sphere,50,12,6.488975348e-05,100000,3.6159
ag,sphere,50,13,7.95209314e-05,100000,3.7269
ag,sphere,50,14,8.165412052e-05,100000,3.5835
ag,sphere,50,15,5.511852981e-05,100000,3.6214
ag,sphere,50,16,3.334905961e-05,100000,3.6103
ag,sphere,50,17,3.480630621e-05,100000,3.6138
ag,sphere,50,18,8.57443082e-05,100000,3.5855
ag,sphere,50,19,0.0001946683573,100000,3.5764
ag,sphere,50,20,5.074533947e-05,100000,3.6531
ag,sphere,50,21,0.000247178118,100000,3.6175
ag,sphere,50,22,4.069017845e-05,100000,3.5839
ag,sphere,50,23,4.294512543e-05,100000,3.6237
ag,sphere,50,24,7.456127721e-05,100000,3.6135
ag,sphere,50,25,0.0002174001483,100000,3.5836
ag,sphere,50,26,5.719517987e-05,100000,3.64
ag,sphere,50,27,6.823789925e-05,100000,3.7069
ag,sphere,50,28,0.0001074388518,100000,3.6361
ag,sphere,50,29,6.465880563e-05,100000,3.6736
ag,sphere,50,30,5.661534622e-05,100000,3.7908
ag,sphere,100,1,0.0008333552457,100000,3.689
ag,sphere,100,2,0.0007288739458,100000,3.6481
ag,sphere,100,3,0.001083786822,100000,3.6316
ag,sphere,100,4,61.14020617,100000,3.6374
ag,sphere,100,5,0.000508136843,100000,3.6251
ag,sphere,100,6,0.0008133657508,100000,3.6248
ag,sphere,100,7,0.0008840299865,100000,3.6428
ag,sphere,100,8,0.0005937569569,100000,3.6183
ag,sphere,100,9,117.1200924,100000,3.6827
ag,sphere,100,10,0.0008235207479,100000,3.6317
ag,sphere,100,11,0.000579963971,100000,3.6514
ag,sphere,100,12,175.9771344,100000,3.6241
ag,sphere,100,13,0.0006607389942,100000,3.6032
ag,sphere,100,14,4.163457121,100000,3.6394
ag,sphere,100,15,0.0006696413381,100000,3.6165
ag,sphere,100,16,0.0005902238069,100000,3.6378
ag,sphere,100,17,0.0005598170468,100000,3.673
ag,sphere,100,18,0.0008013261838,100000,3.6155
ag,sphere,100,19,0.0008787632085,100000,3.6096
ag,sphere,100,20,0.0006623269309,100000,3.6273
ag,sphere,100,21,0.0005422781804,100000,3.6247
ag,sphere,100,22,0.0006706704114,100000,3.6198
ag,sphere,100,23,0.0008155746486,100000,3.6176
ag,sphere,100,24,0.0006886230886,100000,3.6155
ag,sphere,100,25,0.0006932582502,100000,3.6182
ag,sphere,100,26,16.59601049,100000,3.6356
ag,sphere,100,27,0.0006905511368,100000,3.6263
ag,sphere,100,28,0.0007644222494,100000,3.6641
ag,sphere,100,29,0.0006654370157,100000,3.6692
ag,sphere,100,30,0.0005367089968,100000,3.6472
ag,rosenbrock,30,1,70.48572869,100000,3.6196
ag,rosenbrock,30,2,67.52981018,100000,3.5791
ag,rosenbrock,30,3,0.4101288888,100000,3.5887
ag,rosenbrock,30,4,1.018205556,100000,3.5794
ag,rosenbrock,30,5,0.6940491225,100000,3.5994
ag,rosenbrock,30,6,6.304977648,100000,3.5961
ag,rosenbrock,30,7,134.5936454,100000,3.6409
ag,rosenbrock,30,8,66.60568396,100000,3.5909
ag,rosenbrock,30,9,1.13616715,100000,3.6093
ag,rosenbrock,30,10,80.35743469,100000,3.61
ag,rosenbrock,30,11,68.51072741,100000,3.5964
ag,rosenbrock,30,12,0.2187769548,100000,3.5856
ag,rosenbrock,30,13,67.72118504,100000,3.5877
ag,rosenbrock,30,14,77.30333257,100000,3.594
ag,rosenbrock,30,15,77.53253463,100000,3.5816
ag,rosenbrock,30,16,0.5174846655,100000,3.5891
ag,rosenbrock,30,17,74.09305654,100000,3.5841
ag,rosenbrock,30,18,152.7540387,100000,3.5771
ag,rosenbrock,30,19,68.500798,100000,3.5882
ag,rosenbrock,30,20,1.272530776,100000,3.5792
ag,rosenbrock,30,21,146.5901651,100000,3.5902
ag,rosenbrock,30,22,72.4663564,100000,3.5782
ag,rosenbrock,30,23,66.81883725,100000,3.5986
ag,rosenbrock,30,24,68.30282398,100000,3.591
ag,rosenbrock,30,25,84.43697513,100000,3.579
ag,rosenbrock,30,26,0.5415451505,100000,3.5863
ag,rosenbrock,30,27,2.21653433,100000,3.5885
ag,rosenbrock,30,28,69.76220955,100000,3.5778
ag,rosenbrock,30,29,68.47072367,100000,3.5767
ag,rosenbrock,30,30,0.3205672958,100000,3.5899
ag,rosenbrock,50,1,42.06371597,100000,3.6014
ag,rosenbrock,50,2,69.05715873,100000,3.6015
ag,rosenbrock,50,3,69.78020427,100000,3.6108
ag,rosenbrock,50,4,74.24741469,100000,3.6096
ag,rosenbrock,50,5,69.3629589,100000,3.612
ag,rosenbrock,50,6,142.6540588,100000,3.6186
ag,rosenbrock,50,7,1.237235725,100000,3.6207
ag,rosenbrock,50,8,97.41239426,100000,3.6074
ag,rosenbrock,50,9,139.7105201,100000,3.6149
ag,rosenbrock,50,10,68.9574481,100000,3.6027
ag,rosenbrock,50,11,70.71919917,100000,3.608
ag,rosenbrock,50,12,94.10914638,100000,3.6177
ag,rosenbrock,50,13,2.014178534,100000,3.6051
ag,rosenbrock,50,14,69.74723011,100000,3.6086
ag,rosenbrock,50,15,69.26287891,100000,3.6206
ag,rosenbrock,50,16,1.335248151,100000,3.6133
ag,rosenbrock,50,17,1.090066029,100000,3.5973
ag,rosenbrock,50,18,1.246491041,100000,3.625
ag,rosenbrock,50,19,1.925345168,100000,3.6099
ag,rosenbrock,50,20,4.249962992,100000,3.6346
ag,rosenbrock,50,21,69.88489959,100000,3.6214
ag,rosenbrock,50,22,1.28233928,100000,3.62
ag,rosenbrock,50,23,148.4767688,100000,3.6658
ag,rosenbrock,50,24,72.09673519,100000,3.6214
ag,rosenbrock,50,25,1.051751277,100000,3.6233
ag,rosenbrock,50,26,1.495221257,100000,3.6086
ag,rosenbrock,50,27,3.324766571,100000,3.6233
ag,rosenbrock,50,28,79.27056899,100000,3.6167
ag,rosenbrock,50,29,70.45869588,100000,3.6165
ag,rosenbrock,50,30,89.96959684,100000,3.6409
ag,rosenbrock,100,1,13.41652849,100000,3.702
ag,rosenbrock,100,2,18.65897,100000,3.7322
ag,rosenbrock,100,3,88.04119367,100000,3.7068
ag,rosenbrock,100,4,93.36644197,100000,3.7058
ag,rosenbrock,100,5,208.6127093,100000,3.7111
ag,rosenbrock,100,6,26.96983167,100000,3.6914
ag,rosenbrock,100,7,13.43202628,100000,3.7126
ag,rosenbrock,100,8,113.3420933,100000,3.708
ag,rosenbrock,100,9,128.0790752,100000,3.693
ag,rosenbrock,100,10,16.4401817,100000,3.7058
ag,rosenbrock,100,11,84.45181958,100000,3.698
ag,rosenbrock,100,12,90.57896767,100000,3.7117
ag,rosenbrock,100,13,172.9310068,100000,3.689
ag,rosenbrock,100,14,316.2546532,100000,3.6797
ag,rosenbrock,100,15,15.13562319,100000,3.6956
ag,rosenbrock,100,16,227.5930199,100000,3.6853
ag,rosenbrock,100,17,156.5981994,100000,3.704
ag,rosenbrock,100,18,176.4552598,100000,3.7044
ag,rosenbrock,100,19,94.80634679,100000,3.6985
ag,rosenbrock,100,20,245.0992851,100000,3.6826
ag,rosenbrock,100,21,88.72576295,100000,3.6905
ag,rosenbrock,100,22,99.89947318,100000,3.6917
ag,rosenbrock,100,23,173.7665522,100000,3.6948
ag,rosenbrock,100,24,17.34474616,100000,3.6855
ag,rosenbrock,100,25,22.03295745,100000,3.6981
ag,rosenbrock,100,26,93.69679545,100000,3.7045
ag,rosenbrock,100,27,14.72351733,100000,3.6839
ag,rosenbrock,100,28,88.76707761,100000,3.7046
ag,rosenbrock,100,29,149.7507909,100000,3.6832
ag,rosenbrock,100,30,88.10767554,100000,3.6849
ag,sum_squares,30,1,1.126467003e-32,100000,3.5251
ag,sum_squares,30,2,9.374507702e-33,100000,3.5248
ag,sum_squares,30,3,1.856824813e-32,100000,3.5191
ag,sum_squares,30,4,3.471465892e-32,100000,3.5321
ag,sum_squares,30,5,1.814578208e-32,100000,3.529
ag,sum_squares,30,6,3.345145053e-31,100000,3.5248
ag,sum_squares,30,7,2.005869189e-32,100000,3.5357
ag,sum_squares,30,8,7.336368601e-32,100000,3.5119
