algoritmo,funcao,dim,exec_id,best_f,n_fes,tempo_s
epso,sphere,30,1,1238.840737,100000,2.93
epso,sphere,30,2,1705.124383,100000,2.8903
epso,sphere,30,3,1680.280307,100000,2.902
epso,sphere,30,4,2927.786332,100000,2.8797
epso,sphere,30,5,1714.146467,100000,2.8815
epso,sphere,30,6,2360.42505,100000,2.8698
epso,sphere,30,7,1242.328641,100000,2.8743
epso,sphere,30,8,1406.262508,100000,2.8859
epso,sphere,30,9,904.8548296,100000,2.8844
epso,sphere,30,10,1852.312408,100000,2.9039
epso,sphere,30,11,3086.21124,100000,2.8869
epso,sphere,30,12,2720.621229,100000,2.8616
epso,sphere,30,13,1206.940117,100000,2.8945
epso,sphere,30,14,1184.784155,100000,2.887
epso,sphere,30,15,661.0868641,100000,2.8724
epso,sphere,30,16,3282.283571,100000,2.8896
epso,sphere,30,17,1871.559772,100000,2.8951
epso,sphere,30,18,1660.544331,100000,2.8966
epso,sphere,30,19,1195.226461,100000,2.9139
epso,sphere,30,20,2649.191281,100000,2.8864
epso,sphere,30,21,930.8660493,100000,2.8831
epso,sphere,30,22,1496.101559,100000,2.8875
epso,sphere,30,23,2311.74052,100000,2.8981
epso,sphere,30,24,1352.836843,100000,2.8791
epso,sphere,30,25,1765.371112,100000,2.8947
epso,sphere,30,26,1986.67938,100000,2.8814
epso,sphere,30,27,2182.134569,100000,2.8928
epso,sphere,30,28,2066.73074,100000,2.8837
epso,sphere,30,29,1896.815438,100000,2.8916
epso,sphere,30,30,1988.959598,100000,2.8705
epso,sphere,50,1,5018.183891,100000,2.8984
epso,sphere,50,2,8214.856907,100000,2.8982
epso,sphere,50,3,3796.183849,100000,2.9109
epso,sphere,50,4,8202.547733,100000,2.8889
epso,sphere,50,5,11020.8536,100000,2.8958
epso,sphere,50,6,5865.528547,100000,2.8958
epso,sphere,50,7,7359.456789,100000,2.9183
epso,sphere,50,8,5044.784022,100000,2.9154
epso,sphere,50,9,4517.177772,100000,2.8938
epso,sphere,50,10,4193.832481,100000,2.9021
epso,sphere,50,11,5747.634241,100000,2.888
epso,sphere,50,12,4640.055884,100000,2.9119
epso,sphere,50,13,4556.229293,100000,2.8977
epso,sphere,50,14,5264.662482,100000,2.8999
epso,sphere,50,15,7927.874352,100000,2.9094
epso,sphere,50,16,7340.709669,100000,2.9047
epso,sphere,50,17,7182.465808,100000,2.8955
epso,sphere,50,18,3456.763928,100000,2.8914
epso,sphere,50,19,4652.975046,100000,2.9088
epso,sphere,50,20,4264.658795,100000,2.896
epso,sphere,50,21,6523.415446,100000,2.9025
epso,sphere,50,22,5481.284927,100000,2.9034
epso,sphere,50,23,5686.597076,100000,2.9004
epso,sphere,50,24,3025.308426,100000,2.906
epso,sphere,50,25,6752.078811,100000,2.9133
epso,sphere,50,26,4594.78879,100000,2.8852
epso,sphere,50,27,6550.361238,100000,2.91
epso,sphere,50,28,11210.22356,100000,2.8957
epso,sphere,50,29,6352.460368,100000,2.8878
epso,sphere,50,30,6188.290703,100000,2.9098
epso,sphere,100,1,24393.65994,100000,2.9351
epso,sphere,100,2,16077.75917,100000,2.9331
epso,sphere,100,3,15045.29378,100000,2.9405
epso,sphere,100,4,20311.21826,100000,2.9522
epso,sphere,100,5,27016.28275,100000,2.9416
epso,sphere,100,6,21953.13669,100000,2.9413
epso,sphere,100,7,20974.39689,100000,2.9483
epso,sphere,100,8,14020.94934,100000,2.9361
epso,sphere,100,9,20655.69979,100000,2.942
epso,sphere,100,10,22111.61743,100000,2.9394
epso,sphere,100,11,19564.11075,100000,2.9482
epso,sphere,100,12,21494.09779,100000,2.9372
epso,sphere,100,13,22746.43902,100000,2.9506
epso,sphere,100,14,20110.18032,100000,2.9394
epso,sphere,100,15,12473.16389,100000,2.9437
epso,sphere,100,16,20100.74241,100000,2.9461
epso,sphere,100,17,24749.59681,100000,2.9462
epso,sphere,100,18,20815.8684,100000,2.9375
epso,sphere,100,19,19313.23295,100000,2.9396
epso,sphere,100,20,22108.8325,100000,2.9313
epso,sphere,100,21,16811.34185,100000,2.9499
epso,sphere,100,22,19053.91945,100000,2.9659
epso,sphere,100,23,20923.809,100000,2.9606
epso,sphere,100,24,18058.4759,100000,2.9327
epso,sphere,100,25,17932.67432,100000,2.943
epso,sphere,100,26,18925.79595,100000,2.9319
epso,sphere,100,27,25188.61805,100000,2.9387
epso,sphere,100,28,19820.19408,100000,2.9285
epso,sphere,100,29,20532.34557,100000,2.9583
epso,sphere,100,30,18348.86169,100000,2.9254
epso,rosenbrock,30,1,5959.56352,100000,3.4076
epso,rosenbrock,30,2,6615.369727,100000,3.4019
epso,rosenbrock,30,3,13441.41323,100000,3.4053
epso,rosenbrock,30,4,3966.701145,100000,3.3876
epso,rosenbrock,30,5,10022.53811,100000,3.4086
epso,rosenbrock,30,6,17422.94303,100000,3.3999
epso,rosenbrock,30,7,19066.42199,100000,3.4074
epso,rosenbrock,30,8,4859.235009,100000,3.4151
epso,rosenbrock,30,9,12723.893,100000,3.3983
epso,rosenbrock,30,10,7759.439741,100000,3.3972
epso,rosenbrock,30,11,9166.877441,100000,3.4045
epso,rosenbrock,30,12,4743.72084,100000,3.4038
epso,rosenbrock,30,13,13110.5312,100000,3.3995
epso,rosenbrock,30,14,4196.750698,100000,3.4029
epso,rosenbrock,30,15,13137.29623,100000,3.3964
epso,rosenbrock,30,16,15931.04395,100000,3.3965
epso,rosenbrock,30,17,23912.77704,100000,3.4082
epso,rosenbrock,30,18,7329.328379,100000,3.4223
epso,rosenbrock,30,19,11803.4578,100000,3.408
epso,rosenbrock,30,20,6945.204586,100000,3.3987
epso,rosenbrock,30,21,11210.9433,100000,3.4076
epso,rosenbrock,30,22,6638.824342,100000,3.4223
epso,rosenbrock,30,23,10297.81163,100000,3.4407
epso,rosenbrock,30,24,31632.16368,100000,3.4257
epso,rosenbrock,30,25,11160.49326,100000,3.4188
epso,rosenbrock,30,26,11140.1586,100000,3.4094
epso,rosenbrock,30,27,9986.208518,100000,3.4141
epso,rosenbrock,30,28,8687.764282,100000,3.4179
epso,rosenbrock,30,29,4148.76435,100000,3.4167
epso,rosenbrock,30,30,1292.188554,100000,3.3946
epso,rosenbrock,50,1,61865.21675,100000,3.4276
epso,rosenbrock,50,2,130572.1026,100000,3.4287
epso,rosenbrock,50,3,26416.17681,100000,3.439
epso,rosenbrock,50,4,25590.78022,100000,3.4303
epso,rosenbrock,50,5,29929.52452,100000,3.431
epso,rosenbrock,50,6,68634.08915,100000,3.4245
epso,rosenbrock,50,7,32521.30277,100000,3.4519
epso,rosenbrock,50,8,119825.5731,100000,3.4287
epso,rosenbrock,50,9,88974.65727,100000,3.4497
epso,rosenbrock,50,10,41629.07203,100000,3.4354
epso,rosenbrock,50,11,50552.41125,100000,3.4489
epso,rosenbrock,50,12,100322.3791,100000,3.4275
epso,rosenbrock,50,13,47426.82143,100000,3.4107
epso,rosenbrock,50,14,68635.84535,100000,3.4219
epso,rosenbrock,50,15,56290.25386,100000,3.4443
epso,rosenbrock,50,16,31298.12797,100000,3.4428
epso,rosenbrock,50,17,72975.72932,100000,3.43
epso,rosenbrock,50,18,61723.84738,100000,3.4319
epso,rosenbrock,50,19,47944.05287,100000,3.4065
epso,rosenbrock,50,20,83680.9423,100000,3.4143
epso,rosenbrock,50,21,58307.38334,100000,3.4375
epso,rosenbrock,50,22,77657.16992,100000,3.4294
epso,rosenbrock,50,23,68431.49648,100000,3.4235
epso,rosenbrock,50,24,94751.45804,100000,3.4296
epso,rosenbrock,50,25,33990.54762,100000,3.4205
epso,rosenbrock,50,26,63700.63911,100000,3.4369
epso,rosenbrock,50,27,81923.20983,100000,3.4324
epso,rosenbrock,50,28,22072.3771,100000,3.4293
epso,rosenbrock,50,29,79364.80378,100000,3.4362
epso,rosenbrock,50,30,57795.52148,100000,3.4243
epso,rosenbrock,100,1,271841.2157,100000,3.452
epso,rosenbrock,100,2,322553.9626,100000,3.4678
epso,rosenbrock,100,3,182523.3706,100000,3.494
epso,rosenbrock,100,4,320076.8624,100000,3.468
epso,rosenbrock,100,5,300763.3777,100000,3.5039
epso,rosenbrock,100,6,216510.925,100000,3.4852
epso,rosenbrock,100,7,269872.7247,100000,3.4684
epso,rosenbrock,100,8,183550.6786,100000,3.4619
epso,rosenbrock,100,9,242882.5523,100000,3.4808
epso,rosenbrock,100,10,271055.2686,100000,3.4698
epso,rosenbrock,100,11,235036.1131,100000,3.4715
epso,rosenbrock,100,12,419355.4311,100000,3.4637
epso,rosenbrock,100,13,271374.5386,100000,3.4909
epso,rosenbrock,100,14,294057.6009,100000,3.4792
epso,rosenbrock,100,15,324207.6802,100000,3.5195
epso,rosenbrock,100,16,204327.4739,100000,3.4733
epso,rosenbrock,100,17,295575.6907,100000,3.4739
epso,rosenbrock,100,18,425944.1832,100000,3.4747
epso,rosenbrock,100,19,287263.2244,100000,3.4858
epso,rosenbrock,100,20,270049.5005,100000,3.4724
epso,rosenbrock,100,21,270781.9982,100000,3.5295
epso,rosenbrock,100,22,393312.8769,100000,3.4743
epso,rosenbrock,100,23,206197.177,100000,3.4776
epso,rosenbrock,100,24,291967.5202,100000,3.4565
epso,rosenbrock,100,25,372795.399,100000,3.4719
epso,rosenbrock,100,26,347322.3317,100000,3.465
epso,rosenbrock,100,27,288684.8841,100000,3.4744
epso,rosenbrock,100,28,170698.2783,100000,3.4742
epso,rosenbrock,100,29,122500.2246,100000,3.4936
epso,rosenbrock,100,30,210512.8374,100000,3.4723
epso,sum_squares,30,1,349.4495858,100000,3.1977
epso,sum_squares,30,2,165.1597086,100000,3.1793
epso,sum_squares,30,3,287.8834927,100000,3.1875
epso,sum_squares,30,4,132.8322417,100000,3.1778
epso,sum_squares,30,5,171.3652587,100000,3.1915
epso,sum_squares,30,6,225.6601142,100000,3.2023
epso,sum_squares,30,7,124.732613,100000,3.1914
epso,sum_squares,30,8,267.1862692,100000,3.1807
epso,sum_squares,30,9,249.6545148,100000,3.1862
epso,sum_squares,30,10,533.6085374,100000,3.1787
epso,sum_squares,30,11,241.8027684,100000,3.1845
epso,sum_squares,30,12,210.5280535,100000,3.1955
epso,sum_squares,30,13,220.505804,100000,3.1914
epso,sum_squares,30,14,263.0559102,100000,3.1863
epso,sum_squares,30,15,262.0927475,100000,3.2095
epso,sum_squares,30,16,246.5746277,100000,3.1891
epso,sum_squares,30,17,97.20965627,100000,3.1795
epso,sum_squares,30,18,244.2571341,100000,3.2087
epso,sum_squares,30,19,172.6994387,100000,3.1811
epso,sum_squares,30,20,289.0459366,100000,3.1897
epso,sum_squares,30,21,198.7255985,100000,3.1966
epso,sum_squares,30,22,148.8453495,100000,3.2067
epso,sum_squares,30,23,205.2846573,100000,3.1939
epso,sum_squares,30,24,103.3535431,100000,3.1979
epso,sum_squares,30,25,174.613101,100000,3.1849
epso,sum_squares,30,26,311.3561489,100000,3.1948
epso,sum_squares,30,27,267.8344915,100000,3.1885
epso,sum_squares,30,28,148.7554946,100000,3.1861
epso,sum_squares,30,29,196.2555029,100000,3.1715
epso,sum_squares,30,30,260.8926132,100000,3.1849
epso,sum_squares,50,1,1916.542531,100000,3.2079
epso,sum_squares,50,2,765.4977418,100000,3.2153
epso,sum_squares,50,3,1467.304586,100000,3.2273
epso,sum_squares,50,4,678.5835595,100000,3.2262
epso,sum_squares,50,5,1931.231308,100000,3.1952
epso,sum_squares,50,6,1310.746366,100000,3.2223
epso,sum_squares,50,7,757.2614213,100000,3.2119
epso,sum_squares,50,8,1263.854495,100000,3.21
epso,sum_squares,50,9,1169.45757,100000,3.2086
epso,sum_squares,50,10,1036.157225,100000,3.2247
epso,sum_squares,50,11,1665.837203,100000,3.2291
epso,sum_squares,50,12,945.9177489,100000,3.2097
epso,sum_squares,50,13,1172.755071,100000,3.2125
epso,sum_squares,50,14,1601.966068,100000,3.1939
epso,sum_squares,50,15,1652.341387,100000,3.2173
epso,sum_squares,50,16,1230.770797,100000,3.2055
