algoritmo,funcao,dim,exec_id,best_f,n_fes,tempo_s
pso,sphere,30,1,1.374116357e-24,100000,1.7828
pso,sphere,30,2,5.607271982e-24,100000,1.7346
pso,sphere,30,3,9.223663774e-24,100000,1.7389
pso,sphere,30,4,3.056091861e-25,100000,1.7376
pso,sphere,30,5,5.815394773e-24,100000,1.7306
pso,sphere,30,6,6.850499843e-23,100000,1.741
pso,sphere,30,7,1.287023748e-24,100000,1.7397
pso,sphere,30,8,7.462420757e-24,100000,1.7325
pso,sphere,30,9,1.09800074e-23,100000,1.7346
pso,sphere,30,10,1.00908083e-22,100000,1.741
pso,sphere,30,11,7.47419329e-23,100000,1.7314
pso,sphere,30,12,1.479420879e-23,100000,1.7363
pso,sphere,30,13,1.442697687e-23,100000,1.7391
pso,sphere,30,14,1.998842893e-24,100000,1.7331
pso,sphere,30,15,4.092837254e-23,100000,1.7337
pso,sphere,30,16,5.286910445e-25,100000,1.7365
pso,sphere,30,17,1.773886099e-24,100000,1.7497
pso,sphere,30,18,1.541857436e-23,100000,1.7617
pso,sphere,30,19,2.866488142e-24,100000,1.7753
pso,sphere,30,20,5.738144148e-25,100000,1.9369
pso,sphere,30,21,8.34894482e-25,100000,1.8804
pso,sphere,30,22,5.176056624e-23,100000,1.8516
pso,sphere,30,23,1.064503071e-23,100000,1.7846
pso,sphere,30,24,1.396457448e-24,100000,1.8073
pso,sphere,30,25,5.511203725e-25,100000,1.8218
pso,sphere,30,26,5.596728974e-24,100000,1.815
pso,sphere,30,27,5.713969421e-25,100000,1.8086
pso,sphere,30,28,8.342683862e-24,100000,1.8636
pso,sphere,30,29,2.216274613e-24,100000,1.7994
pso,sphere,30,30,7.441826787e-24,100000,1.8074
pso,sphere,50,1,5.792721989e-13,100000,1.8066
pso,sphere,50,2,8.261410418e-11,100000,1.8305
pso,sphere,50,3,2.082145356e-12,100000,1.8321
pso,sphere,50,4,8.898171992e-12,100000,1.8086
pso,sphere,50,5,2.306177242e-13,100000,1.8303
pso,sphere,50,6,4.982895771e-12,100000,1.7987
pso,sphere,50,7,1.186988287e-12,100000,1.8099
pso,sphere,50,8,1.851066048e-12,100000,1.8146
pso,sphere,50,9,4.83941166e-12,100000,1.8423
pso,sphere,50,10,8.258985981e-14,100000,1.8249
pso,sphere,50,11,2.73199987e-13,100000,1.8257
pso,sphere,50,12,6.215274487e-13,100000,1.8169
pso,sphere,50,13,9.798091281e-13,100000,1.8278
pso,sphere,50,14,4.272155176e-13,100000,1.8216
pso,sphere,50,15,8.555049374e-12,100000,1.8331
pso,sphere,50,16,1.530867171e-12,100000,1.7992
pso,sphere,50,17,4.475907443e-12,100000,1.8082
pso,sphere,50,18,3.394830919e-11,100000,1.7936
pso,sphere,50,19,3.31261624e-12,100000,1.8108
pso,sphere,50,20,2.201432622e-13,100000,1.7952
pso,sphere,50,21,3.750525402e-12,100000,1.8019
pso,sphere,50,22,2.744644596e-13,100000,1.7894
pso,sphere,50,23,3.551131054e-13,100000,1.7823
pso,sphere,50,24,2.534143947e-11,100000,1.7778
pso,sphere,50,25,9.289442539e-13,100000,1.7938
pso,sphere,50,26,1.264925182e-12,100000,1.8071
pso,sphere,50,27,1.67019297e-13,100000,1.7733
pso,sphere,50,28,2.190436868e-12,100000,1.7977
pso,sphere,50,29,8.485978676e-13,100000,1.8677
pso,sphere,50,30,4.519599676e-14,100000,1.8452
pso,sphere,100,1,0.01649005874,100000,1.8174
pso,sphere,100,2,0.01196745961,100000,1.8537
pso,sphere,100,3,0.01691581265,100000,1.8273
pso,sphere,100,4,0.02239707656,100000,1.8306
pso,sphere,100,5,0.197657869,100000,1.8323
pso,sphere,100,6,0.01760092857,100000,1.8195
pso,sphere,100,7,0.1276046513,100000,1.8259
pso,sphere,100,8,0.006677513569,100000,1.8396
pso,sphere,100,9,0.0767425402,100000,1.8169
pso,sphere,100,10,0.0244886138,100000,1.8625
pso,sphere,100,11,0.0065393561,100000,1.8191
pso,sphere,100,12,0.0172061232,100000,1.8241
pso,sphere,100,13,0.003265664906,100000,1.8405
pso,sphere,100,14,0.008785046107,100000,1.8647
pso,sphere,100,15,0.03122328477,100000,1.834
pso,sphere,100,16,0.1118509253,100000,1.8393
pso,sphere,100,17,0.04513401105,100000,1.8312
pso,sphere,100,18,0.005729497578,100000,1.81
pso,sphere,100,19,0.006044772036,100000,1.7937
pso,sphere,100,20,0.007246546168,100000,1.8745
pso,sphere,100,21,0.006930733332,100000,1.8426
pso,sphere,100,22,0.04775316248,100000,1.7897
pso,sphere,100,23,0.006777086091,100000,1.8285
pso,sphere,100,24,0.01307475867,100000,2.04
pso,sphere,100,25,0.02455244971,100000,1.8046
pso,sphere,100,26,0.005849251305,100000,1.8073
pso,sphere,100,27,0.006330005275,100000,1.7994
pso,sphere,100,28,0.02081043215,100000,1.8558
pso,sphere,100,29,0.05627604771,100000,1.8261
pso,sphere,100,30,0.02877130803,100000,1.8513
pso,rosenbrock,30,1,21.14905575,100000,2.2408
pso,rosenbrock,30,2,24.51814585,100000,2.2282
pso,rosenbrock,30,3,17.32406681,100000,2.2303
pso,rosenbrock,30,4,21.93548108,100000,2.2243
pso,rosenbrock,30,5,19.36817317,100000,2.2252
pso,rosenbrock,30,6,17.54926562,100000,2.2172
pso,rosenbrock,30,7,10.08382657,100000,2.2279
pso,rosenbrock,30,8,21.80099468,100000,2.242
pso,rosenbrock,30,9,19.96944718,100000,2.2463
pso,rosenbrock,30,10,21.65063803,100000,2.2232
pso,rosenbrock,30,11,21.53370228,100000,2.2283
pso,rosenbrock,30,12,20.02893688,100000,2.3342
pso,rosenbrock,30,13,72.34146362,100000,2.2547
pso,rosenbrock,30,14,74.64780811,100000,2.218
pso,rosenbrock,30,15,74.27588006,100000,2.2283
pso,rosenbrock,30,16,75.10132364,100000,2.247
pso,rosenbrock,30,17,76.68457735,100000,2.2354
pso,rosenbrock,30,18,21.72648379,100000,2.3033
pso,rosenbrock,30,19,22.21324576,100000,2.3433
pso,rosenbrock,30,20,22.34479961,100000,2.3024
pso,rosenbrock,30,21,83.45958846,100000,2.3117
pso,rosenbrock,30,22,79.53306463,100000,2.2879
pso,rosenbrock,30,23,21.20398642,100000,2.2518
pso,rosenbrock,30,24,21.94819146,100000,2.2458
pso,rosenbrock,30,25,69.81567075,100000,2.2758
pso,rosenbrock,30,26,19.09407674,100000,2.2935
pso,rosenbrock,30,27,21.93529553,100000,2.2968
pso,rosenbrock,30,28,2523.065275,100000,2.2697
pso,rosenbrock,30,29,18.2383075,100000,2.2822
pso,rosenbrock,30,30,22.04346317,100000,2.2781
pso,rosenbrock,50,1,82.98197978,100000,2.333
pso,rosenbrock,50,2,88.56510589,100000,2.3472
pso,rosenbrock,50,3,397.455529,100000,2.3305
pso,rosenbrock,50,4,136.2254701,100000,2.3414
pso,rosenbrock,50,5,45.42868201,100000,2.3331
pso,rosenbrock,50,6,91.18870129,100000,2.3184
pso,rosenbrock,50,7,33.96383007,100000,2.3291
pso,rosenbrock,50,8,43.56065349,100000,2.322
pso,rosenbrock,50,9,34.4736855,100000,2.2517
pso,rosenbrock,50,10,2543.230428,100000,2.2439
pso,rosenbrock,50,11,86.78127817,100000,2.2414
pso,rosenbrock,50,12,84.52491054,100000,2.2394
